Artist:,Song:,Song ID:
112,Only You,56121
112,Come See Me,56956
112,It's Over Now,60310
112,Peaches & Cream,60706
112,Dance With Me,61039
112,Right Here For You,66601
311,ALL MIXED UP,6641
311,Down,59310
311,You Wouldn't Believe,60919
311,Love Song,62965
311,Amber,66386
311,Creatures (For A While),66454
311,Beyond The Grey Sky,66480
311,First Straw,66744
311,All Mixed Up,67488
702,WHERE MY GIRLS AT,2490
702,Steelo,56531
702,Get It Together,56949
702,Where My Girls At,58593
911,Party People,65205
911,All I Want Is You,65235
),CONCEITED (THERE'S SOMETHING ABOUT REM,13573
? & THE MYSTERIANS,96 TEARS,6781
? & The Mysterians,96 Tears,70037
"10,000 MANIACS",CANDY EVERYBODY WANTS,1693
"10,000 MANIACS",LIKE THE WEATHER,6903
"10,000 MANIACS",TROUBLE ME,6958
"10,000 Maniacs",Because The Night,53660
"10,000 Maniacs",More Than This,57411
"10,000 Maniacs",Trouble Me,67369
"10,000 Maniacs",These Are The Days,67748
"10,000 Maniacs",Like The Weather,70107
100 Proof Aged In S,Somebody's Been Sleeping,56637
10CC,I'M NOT IN LOVE,1910
10cc,I'm Not In Love,57791
10cc,Dreadlock Holiday,64331
10cc,Rubber Bullets,64734
10cc,I'm Mandy Fly Me,64818
10cc,Donna,64929
10cc,"Things We Do For Love, The",67611
112 & Ludacris,Hot & Wet,66587
112 & Super Cat,Na Na Na,66571
12 Gauge,Dunkie Butt,67067
1910 FRUITGUM CO,SIMON SAYS,7083
1910 Fruitgum Co.,Simon Says,50939
1910 Fruitgum Co.,Simon Says,51609
1910 Fruitgum Co.,1-2-3 Redlight,54741
1999 Man United Squ,Lift It High (All About Belief),65414
2 Evisa,Oh La La La,65165
2 Live Crew,Me So Horny,58404
2 Live Crew,We Want Some Pussy,60683
2 Live Crew,Do Wah Diddy Diddy,60686
2 PAC,DEAR MAMA,1729
2 PAC,CALIFORNIA LOVE,3847
2 PAC,HOW DO YOU WANT IT,7163
2 Pac,Dear Mama,52103
2 Pac,Changes,60080
2 Pac,Until The End Of Time,60712
2 Pac,Thugz Mansion,62027
2 Pac,California Love,63265
2 Pac,How Do You Want It,64136
2 Pac & Eminem,One Day At A Time,66607
2 Pac & Eric Willia,Do For Love,63779
2 Unlimited,No Limits,64263
20 Fingers,Short Dick Man,61285
21st Century Girls,21st Century Girls,65408
3 Colours Red,Beautiful Day,65333
3 DOORS DOWN,KRYPTONITE,5441
3 DOORS DOWN,LOSER,7609
3 Doors Down,Citizen Soldier,50032
3 Doors Down,Citizen Soldier (MPX),50041
3 Doors Down,Let Me Be Myself,50242
3 Doors Down,Let Me Be Myself (MPX),50251
3 Doors Down,Loser,59620
3 Doors Down,Duck & Run,60414
3 Doors Down,Be Like That,60920
3 Doors Down,Kryptonite,61517
3 Doors Down,"Road I'm On, The",62186
3 Doors Down,Here Without You,62555
3 Doors Down,When I'm Gone,62657
3 Doors Down,Away From The Sun,62847
3 Doors Down,Let Me Go,67110
3 Of Hearts,Love Is Enough,60754
3 Of Hearts,Arizona Rain,60885
3 Oh! 3,Don't Trust Me,67137
38 SPECIAL,HOLD ON LOOSELY,2815
38 Special,Hold On Loosely,54116
38 Special,Caught Up In You,54119
38 Special,Second Chance,59166
38 Special,If I'd Been The One,59616
38 Special,Rockin' Into The Night,67924
38 Special,Wild-Eyed Southern Boys,67935
3LW,No More (Baby I'ma Do Right),60200
3LW,Playas Gon' Play,66223
3LW,I Do (Wanna Get Close To You),66250
3OH!3,DonÆt Trust Me,50025
3OH!3,DonÆt Trust Me (MPX),50034
3rd Strike,No Light,66379
3rd Strike,Redemption,66390
3T,ANYTHING,6643
3T,Anything,55689
3T,Tease Me,55879
3T & Michael Jackso,Why,64833
4 NON BLONDES,WHAT'S UP,1412
4 Non Blondes,What's Up,53166
4 P.M.,SUKIYAKI,1051
4 P.M.,Lay Down Your Love,54449
4 Runner,Cain's Blood,54568
4 Runner,Ripples,55354
4 Runner,That Was Him (This Is Now),56227
4 Runner,"Heart With 4-Wheel Drive, A",62991
"5 STAIRSTEPS, THE",O OH CHILD,7990
"5 Stairsteps, The",Ooh Child,62777
50 Cent,Wanksta,62118
50 Cent,P.I.M.P,62545
50 Cent,In Da Club,62672
50 Cent,What Up Gangsta,66580
50 Cent,If I Can't,68572
50 Cent & Lil' Kim,Magic Stick,62671
5IVE,KEEP ON MOVIN' (P),7303
5ive,Got The Feelin',65247
5ive,Everybody Get Up,65288
5ive,Until This Time Is Through,65321
5ive,It's The Things You Do,65363
5ive,If You're Getting Down,65445
5ive,Keep On Movin',65518
5ive,Don't Wanna Let You Go,65558
5ive,Invincible,65656
5ive,Closer To Me,65802
5ive,When The Lights Go Out,67834
5ive & Oliver Cheat,Make Luv Room,65989
"5TH DIMENSION, THE",ONE LESS BELL TO ANSWER,188
"5TH DIMENSION, THE",AQUARIUS,1466
"5TH DIMENSION, THE",UP UP & AWAY,2281
"5TH DIMENSION, THE",WEDDING BELL BLUES,2311
"5th Dimension, The",Stoned Soul Picnic,50736
"5th Dimension, The",Wedding Bell Blues,50737
"5th Dimension, The",Aquarius/Let The Sunshine In,50839
"5th Dimension, The",Stoned Soul Picnic,51406
"5th Dimension, The",Wedding Bell Blues,51407
"5th Dimension, The",Aquarius/Let The Sunshine In,51509
"5th Dimension, The",Up Up & Away,51734
"5th Dimension, The",One Less Bell To Answer,53002
"5th Dimension, The",Wedding Bell Blues,54619
"5th Dimension, The",Last Night I Didn't Get To Sleep At Al,59652
"5th Dimension, The",Aquarius/Let The Sunshine In,69232
"5TH DIMENSIONS, THE",STONED SOUL PICNIC,2194
69 BOYS,TOOTSIE ROLL,7200
69 Boyz,Tootsie Roll,59499
8 STOPS 7,QUESTION EVERYTHING,7639
8 Stops 7,Question Everything,68482
98 DEGREES,I DO (CHERISH YOU),1868
98 DEGREES,"HARDEST THING, THE",2798
98 DEGREES,GIVE ME JUST ONE MORE NIGHT,4254
98 DEGREES,MY EVERYTHING,5455
98 DEGREES,BECAUSE OF YOU,6422
98 DEGREES,INVISIBLE MAN,6455
98 DEGREES,THIS GIFT,6485
98 DEGREES,TRUE TO YOUR HEART,6488
98 Degrees,Invisible Man,57396
98 Degrees,"Hardest Thing, The",58285
98 Degrees,I Do (Cherish You),58699
98 Degrees,This Gift,59232
98 Degrees,Give Me Just One Night,59818
98 Degrees,Because Of You,59830
98 Degrees,My Everything,60319
98 Degrees,"Way You Want Me To, The",60711
98 Degrees,Take My Breath Away,65759
A*Teens,Bouncing Off The Ceiling,60422
A*Teens,Mama Mia,65538
A*Teens,Halfway Around The World,65801
A*Teens,Land Of Make Believe,65831
A1,Summertime Of Our Lives,65468
A1,Everytime,65532
A1,Like A Rose,65583
A1,Take On Me,65664
A1,Same Old Brand New You,65678
A1,No More,65702
A1,Ready Or Not,65818
A1,Caught In The Middle,65824
A1,Nothing,65849
A1,Make It Good,65871
A3,WOKE UP THIS MORNING,2588
A3,WOKE UP THIS MORNING,3331
A3,Woke Up This Morning,66202
AALIYAH,TRY AGAIN,2271
AALIYAH,AT YOUR BEST,6729
AALIYAH,"ONE I GAVE MY HEART TO, THE",7803
Aaliyah,If Your Girl Only Knew,56463
Aaliyah,At Your Best (You Are Love),57190
Aaliyah,"One I Gave My Heart To, The",57855
Aaliyah,Try Again,59514
Aaliyah,Rock The Boat,61035
Aaliyah,More Than A Woman,61289
Aaliyah,Miss You,62030
Aaliyah,Hot Like Fire,63535
Aaliyah,We Need A Resolution,63989
Aaliyah,I Don't Wanna,65679
Aaliyah,I Care 4 U,66528
Aaliyah,Journey To The Past,67885
Aaliyah,Turn The Page,68458
Aaliyah & Tank,Come Over,62617
Abandoned Pools,"Remedy, The",61560
ABBA,DANCING QUEEN,309
ABBA,WATERLOO,2300
Abba,Dancing Queen,51726
Abba,Waterloo,51727
Abba,Dancing Queen,53111
Abba,Take A Chance On Me,55962
Abba,Fernando,62791
Abba,Chiquitita,63786
Abba,Does Your Mother Know,63787
Abba,Gimme Gimme Gimme,63788
Abba,I Do I Do I Do I Do I Do,63789
Abba,I Have A Dream,63790
Abba,"Knowing Me, Knowing You",63791
Abba,Thank You For The Music,63792
Abba,"Name Of The Game, The",63793
Abba,Super Trouper,63794
Abba,Mama Mia,63795
Abba,Money Money Money,64043
Abba,"Winner Takes It All, The",64044
Abba,Lay All Your Love On Me,64045
Abba,Honey Honey,64046
Abba,As Good As New,64047
Abba,Ring Ring,64048
Abba,Head Over Heels,64049
Abba,One Of Us,64050
Abba,Summer Night City,64051
Abba,Happy New Year,64052
Abba,Hasta Manana,64053
Abba,Rock Me,64054
Abba,Angel Eyes,64055
Abba,So Long,64056
Abba,Voulez-vous,64057
Abba,SOS,69399
Abba,Mamma Mia,69402
"Abbot, Russ",Atmosphere,64381
"ABBOTT, GREGORY",SHAKE YOU DOWN (P),7517
"Abbott, Gregory",Shake You Down,54868
ABC,Poison Arrow,53402
ABC,Be Near Me,58516
ABC,Look Of Love ( Pt 1 ),60949
ABC,All Of My Heart,64848
"ABDUL, PAULA",OPPOSITES ATTRACT,870
"ABDUL, PAULA","PROMISE OF A NEW DAY, THE",896
"ABDUL, PAULA",COLD HEARTED,6271
"ABDUL, PAULA",FOREVER YOUR GIRL,6290
"ABDUL, PAULA",KNOCKED OUT,6321
"ABDUL, PAULA",NEXT TO YOU,6343
"ABDUL, PAULA",STATE OF ATTRACTION,6378
"ABDUL, PAULA",STRAIGHT UP,6381
"ABDUL, PAULA","WAY THAT YOU LOVED ME, THE",6399
"Abdul, Paula",Cold Hearted,55701
"Abdul, Paula",Opposites Attract,55804
"Abdul, Paula",Will You Marry Me,55832
"Abdul, Paula",Rush Rush,64443
"Abdul, Paula",Straight Up,68997
Abs,What You Got,65905
Abs,Little Miss Perfect,66034
Abs,7 Ways,66066
AC DC,It s A Long Way To The Top,66981
AC DC,Problem Child,66985
AC/DC,BACK IN BLACK,2674
AC/DC,YOU SHOOK ME ALL NIGHT LONG,3817
AC/DC,DIRTY DEEDS DONE DIRT CHEAP,4264
AC/DC,MELTDOWN,6917
AC/DC,T N T,8028
AC/DC,Thunderstruck,52821
AC/DC,Hard As A Rock,52822
AC/DC,Money Talks,52823
AC/DC,Hells Bells,52824
AC/DC,You Shook Me All Night Long,53183
AC/DC,Highway To Hell,53413
AC/DC,Back In Black,55537
AC/DC,Dirty Deeds Done Dirt Cheap,56643
AC/DC,Big Balls,58408
AC/DC,Stiff Upper Lip,59436
AC/DC,Have A Drink On Me,59737
AC/DC,TNT,60133
AC/DC,Safe In New York City,60675
AC/DC,For Those About To Rock (We Salute Yo),60691
AC/DC,Whole Lotta Rosie,60692
